index	label
1	Accumbens_L_HO50
2	Accumbens_R_HO50
3	Amygdala_L_HO50
4	Amygdala_R_HO50
5	BNST_3t_L_90
6	BNST_3t_R_90
7	dACC
8	Hippocampus_Ant_L_HO
9	Hippocampus_Ant_R_HO
10	Hypothalamus_L
11	Hypothalamus_R
12	Insula_anterior_left
13	Insula_anterior_right
14	rACC
15	vmPFC
