index	label
1	dAI_L
2	dAI_R
3	vAI_L
4	vAI_R
5	PI_L
6	PI_R
7	dAmy_L
8	dAmy_R
9	aMCC_L
10	aMCC_R
11	pACC_L
12	pACC_R
13	sgACC_L
14	sgACC_R
